03-06-06060316030,BNA0421,Stadtwerke Hannover AG,GKH,Niedersachsen,1989,in Betrieb,Steinkohle,Ja,136.0
06-05-100-0081105,BNA0308,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1962,Endgültig Stillgelegt 2012 (ohne StA),Braunkohle,Nein,136.0
06-05-300-0877384,BNA1022,RWE Power AG,Weisweiler,Nordrhein-Westfalen,1959,Endgültig Stillgelegt 2012 (ohne StA),Braunkohle,Nein,135.0
06-05-100-0081105,BNA0309,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1964,Endgültig Stillgelegt 2012 (ohne StA),Braunkohle,Nein,135.0
06-05-900-0327252,BNA0447,Steag GmbH,KW Herne,Nordrhein-Westfalen,1963,Endgültig Stillgelegt 2014 (mit StA),Steinkohle,Nein,133.0
06-05-100-0081105,BNA0312,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1964,Endgültig Stillgelegt 2012 (ohne StA),Braunkohle,Nein,133.0
06-05-100-0229264,BNA0212,Stadtwerke Duisburg AG,HKW II/B,Nordrhein-Westfalen,1965,Endgültig Stillgelegt 2012 (ohne StA),Steinkohle,Ja,133.0
,BNA0448,Uniper Kraftwerke GmbH ,Shamrock,Nordrhein-Westfalen,1957,Endgültig Stillgelegt 2013 (ohne StA),Steinkohle,Ja,132.0
06-05-100-0081105,BNA0306,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1960,Endgültig Stillgelegt 2012 (ohne StA),Braunkohle,Nein,132.0
06-05-100-0081105,BNA0311,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1962,Endgültig Stillgelegt 2012 (ohne StA),Braunkohle,Nein,131.0
06-05-100-0081105,BNA0303,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1957,Endgültig Stillgelegt 2011 (ohne StA),Braunkohle,Nein,130.0
06-05-100-0081105,BNA0305,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1959,Endgültig Stillgelegt 2012 (ohne StA),Braunkohle,Nein,130.0
06-05-100-0081105,BNA0302,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1957,Endgültig Stillgelegt 2011 (ohne StA),Braunkohle,Nein,129.0
06-05-100-0365906,BNA0215,Steag GmbH,KW Walsum,Nordrhein-Westfalen,1959,Endgültig Stillgelegt 2014 (mit StA),Steinkohle,Nein,129.0
06-05-100-0081105,BNA0307,RWE Power AG,Frimmersdorf,Nordrhein-Westfalen,1960,Endgültig Stillgelegt 2012 (ohne StA),Braunkohle,Nein,128.0
,BNA0684c,SWM Services GmbH,Süd DT60,Bayern,2004,in Betrieb,Erdgas,Ja,127.6
,BNA0400,Vattenfall Europe Wärme Aktiengesellschaft,GuD Tiefstack,Hamburg,2009,in Betrieb,Erdgas,Ja,127.0
06-04-11/2001178/8/0,BNA0145,swb Erzeugung GmbH & Co. KG,KW Hafen,Bremen,1968,Vorläufig Stillgelegt (mit StA),Steinkohle,Ja,127.0
06-05-300-0326774,BNA0710,RWE Power AG,Niederaußem,Nordrhein-Westfalen,1963,Vorläufig Stillgelegt (ohne StA),Braunkohle,Nein,125.0
06-05-300-0326774,BNA0711,RWE Power AG,Niederaußem,Nordrhein-Westfalen,1963,Vorläufig Stillgelegt (ohne StA),Braunkohle,Nein,125.0
06-08-1020129,BNA0432,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Heilbronn,Baden-Württemberg,1965,Gesetzlich an Stilllegung gehindert,Steinkohle,Ja,125.0
06-08-1020129,BNA0433,EnBW Energie Baden-Württemberg AG,Heizkraftwerk Heilbronn,Baden-Württemberg,1966,Gesetzlich an Stilllegung gehindert,Steinkohle,Ja,125.0
,BNA0684a,SWM Services GmbH,Süd GT 61,Bayern,2004,in Betrieb,Erdgas,Ja,124.9
06-11-01-1105602,BNA0082,Vattenfall Europe Wärme Aktiengesellschaft,Reuter,Berlin,1969,in Betrieb,Steinkohle,Ja,124.0
